Number of Nodes,Operation,Hops
1000,insert,7
1000,search,7
1000,insert,5
1000,search,5
1000,insert,13
1000,search,13
1000,insert,13
1000,search,13
1000,insert,9
1000,search,9
2000,insert,9
2000,search,9
2000,insert,10
2000,search,10
2000,insert,10
2000,search,10
2000,insert,9
2000,search,9
2000,insert,5
2000,search,5
2000,insert,12
2000,search,12
2000,insert,13
2000,search,13
2000,insert,9
2000,search,9
2000,insert,10
2000,search,10
2000,insert,10
2000,search,10
2000,insert,6
2000,search,6
2000,insert,11
2000,search,11
2000,insert,9
2000,search,9
2000,insert,6
2000,search,6
2000,insert,6
2000,search,6
2000,insert,6
2000,search,6
2000,insert,10
2000,search,10
2000,insert,8
2000,search,8
2000,insert,4
2000,search,4
2000,insert,9
2000,search,9
2000,insert,11
2000,search,11
2000,insert,7
2000,search,7
2000,insert,10
2000,search,10
2000,insert,8
2000,search,8
2000,insert,10
2000,search,10
2000,insert,7
2000,search,7
2000,insert,7
2000,search,7
2000,insert,11
2000,search,11
2000,insert,7
2000,search,7
2000,insert,7
2000,search,7
2000,insert,11
2000,search,11
2000,insert,10
2000,search,10
2000,insert,9
2000,search,9
2000,insert,9
2000,search,9
2000,insert,5
2000,search,5
2000,insert,8
2000,search,8
2000,insert,9
2000,search,9
2000,insert,8
2000,search,8
2000,insert,5
2000,search,5
2000,insert,4
2000,search,4
2000,insert,8
2000,search,8
2000,insert,8
2000,search,8
2000,insert,8
2000,search,8
2000,insert,7
2000,search,7
2000,insert,11
2000,search,11
2000,insert,8
2000,search,8
2000,insert,7
2000,search,7
2000,insert,7
2000,search,7
2000,insert,10
2000,search,10
2000,insert,8
2000,search,8
2000,insert,7
2000,search,7
2000,insert,6
2000,search,6
2000,insert,12
2000,search,12
2000,insert,7
2000,search,7
2000,insert,11
2000,search,11
2000,insert,8
2000,search,8
2000,insert,14
2000,search,14
2000,insert,8
2000,search,8
2000,insert,10
2000,search,10
2000,insert,11
2000,search,11
2000,insert,10
2000,search,10
2000,insert,9
2000,search,9
2000,insert,11
2000,search,11
2000,insert,13
2000,search,13
2000,insert,10
2000,search,10
2000,insert,9
2000,search,9
2000,insert,10
2000,search,10
2000,insert,14
2000,search,14
2000,insert,8
2000,search,8
2000,insert,5
2000,search,5
2000,insert,7
2000,search,7
2000,insert,8
2000,search,8
2000,insert,10
2000,search,10
2000,insert,4
2000,search,4
