Number of Nodes,Operation,Hops
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
200,insert,6
200,search,6
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
500,insert,7
500,search,7
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
1000,insert,9
1000,search,9
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
2000,insert,11
2000,search,11
